# Constructed from biom file
#OTU ID	Extreme
031ff368d3f8b3a617446b3faa716a793e824234	2.0
193f25d7ae23e1932aa75a4af56ef8da32f7cac3	2.0
4636eb2e2fb63de4fbcfef76d402ff76c3ff5692	2.0
320a31145cac0f3017a69f740f7294feb902d51f	2.0
8b0e29586c0466f126071bd0a0cbefe826b0dcc0	2.0
1ce7f34f813e536d07147522c04ecfd5d48badf6	2.0
0709c658c48d7c34523ffbf83d69870947cc7f81	2.0
c16daa900c6a86e7ed537ad87bfdfa93f9b3f33e	2.0
05cb548b43e7493af6a568e5966791a3b83868e5	5.0
1b81cc7d7e5f37ebefb9c78b463fabef54c41634	10.0
0568dd81efa031645dcb84e8b5a342aae61460c4	3.0
4257e6b00a050779c063622a71f931343c8b2656	3.0
30095fcd0cfde4a8d4f2b642ff6a6db3d16fe1b6	2.0
20378faef7908a22f1c2754cc668993059a700b6	4.0
aebf74c8ef4afd0f377c59b40b19e73444ad0002	9.0
8457849e05611e85bac98a50fc617a330f8c190a	8.0
5644d61f2dda2438fe3cbd9abf8c5e6f165fe288	2.0
8162886a9f158f48b07687549db20d2db0ba18c3	2.0
b761e1cbd4b190f6024fcf55c9ced4dceaa1e3f0	2.0
d128a213c08d08d5af9794e82de3bc52b1acf335	2.0
64a4a3d7058d3b842b48f8c0b0c7e5935f49d4ec	2.0
06fb9b4ae54dc188a579ea040c96fd89f0b70775	2.0
70296ceac57321c5fa7d0b7c147be8d71f789607	2.0
0799ed18c3116492860438302bcacf605521dbb5	14.0
21043081efaf2d76e20140b22a5f00428a817ab3	4.0
f201c43b497ca2bf46e1443b4a9ca4453b048029	2.0
094a42bfefb4a0f47e1debd219b8f8ab7ce75146	4.0
3b4e01a33464202c6ffb3e3bff965603057cfd59	3.0
7abb8d353fe0e77f793ea796f6f3e38778f0ffa5	3.0
b4ed3e41539ea910058b6935bbe38f44c79d8c63	2.0
7dacba57111e340c72fca1646bb39db05ad0456b	4.0
e70c04f0006d72cd0eba932859e13d1cf992e6d9	3.0
bc2441324f94d8793367e3623c06965cbf2de205	2.0
0e1328f940d4bbc231c1107ac7b45de385ee7e2c	10.0
690923dab6c0552695e168845b24e8ba1f30224a	2.0
1c37d5140f54b580d1a4f8a12502e03235122d61	24.0
5caa48ab08817917de229bd2a20fdab22686c1ec	2.0
03edcddba02aface3fca69a529ed3b9c20b2a8d8	32.0
00ff1ac7b19d769d28f07c65bbf239f8d4f28b5e	8.0
6e82ac334549c1d0fc3ed7844d538d0bac1b2f9c	2.0
4360baa7e1fff7b5a4dffa9bbbc0d2fce0f3ef61	5.0
7183e7fd1ca871c27dc185366270ed99aaab4231	5.0
6b5a1e4acc71c4ebff7e4c6b623b91c9d64fc4b9	2.0
ba266ef2b8ed1f80b7c3b447780772f14a23a907	2.0
5ecbe6c49b288722e24ab92c9e0a5123bfaacb2d	4.0
283e62bbb5ea0245b4ec1b4203114376e59b82c7	4.0
3479eb170feac6583047440fc2ceefd51877a436	2.0
05b465c9c3389958b1ea591e340b6889b64c8ee3	2.0
1fc61e453882a8c0e6bcd9c2fa2cc0892a145dc9	4.0
202cef1e1f02f836db5ded24ff0a9f65545c2a9f	11.0
1313c9157485ae7ceadf7fe7b20ae8d209536c39	3.0
03bdc045fa423ac89944b9de4d979092eeaaaf73	5.0
4864b4322462bcd8b5e23d2390f917e79eb0ea12	3.0
63fe3a6384519349c930e480cad80e451287bf46	2.0
7e6deb99e1f1ae982cef1ccd5e28536a3f314ea1	4.0
753040f80dbc9214bdc6759ea085ab0dcc428abf	2.0
1e9425fdcabc9754bf00f2d9fd1422dd01e107b9	3.0
ea9c5bb1f3a8982cabef19df4fca5abd587a8ab8	2.0
ab0ed978040810b6348d3a36a47760472760a0c3	4.0
a4690333ced95987ee8825b952f6c34e042432fe	5.0
48bb3262fcf4364d27d73e9521e766f2c37944f2	4.0
81181e36578705b54ee1d37a6d0a0778fb5e1ca0	2.0
0a9546ccb879f505531c7c30646ea163eb3db74a	5.0
2df59c9df88135c19463504a3b7dee2e992958d6	2.0
62130bfcbcd3ddd4d0dc24b98e5dc7897a0dd93e	2.0
c96576d46b3da71123aa1fc3e8cda1302ca9acbe	2.0
0f05d62795b2eb6240879db220d1bb7c789aa9ed	21.0
049c73aa381cdda932f1d0b11fdd4833874c075a	6.0
d59bbdf8293baad374d93006dd42ff195cbf79fa	2.0
0862eb315d04ab492045f59ab8cd8fc891c36259	6.0
84e20c9374333e53238603e374c3324a6d285bde	2.0
1bd383a9145c6cf98817a1f92fee5d50fe14e8c2	19.0
10833ef0b90bbbd4aaf36d0eff671828c6c649bd	2.0
87f38fa0c0eeb7a1bd8d21eddcd3e95298f85e73	6.0
5859bfc179019a3e924a2c8d7b78717f54dbb5fc	2.0
6b6dc87088e8f542e2aba9cf7f608b6d4ddeb591	2.0
5b71b00b06903e4edb727b080ee04ea395ee3076	3.0
9577c3339d7109ad5197ae7eb6f50e56e51f6622	5.0
032958a5b95c8421fbe51e7a6226311875e86330	32.0
85b5d016561829ed7322cc83cace35188bd3f3df	5.0
22fb100cb0d8e5337bdc8de41fd85bd3fd36d136	4.0
829562caf38789c708bc6c3e2eb6d1477153b8bd	2.0
c93627513c9be9858e65aefd25705a1a68d6f6d5	2.0
b75dcf2abe2a5128b8c6cbd95e99a263775028af	2.0
01dba029db518296ccfbb46e0f9e213d6317864f	12.0
7001ee543e016cec1755d87a0d4092ff4437adb8	2.0
419d9ee54180942312f853ee7e421c92d8800850	2.0
77f32e273ad7e73c05d28efddd3039e19235bedf	6.0
01b9e365c8f44e912539596a8a3dd1a49ead1e12	6.0
3b1ade6ab36a044f30b8c9846acb4e6015adda71	3.0
206bb602fdd0eefcab84aec6b2d30d557eb8a5bc	2.0
5c82cf063c3f7a676a80828547b28465ff3aa9ec	2.0
13800029dc3071e372cb19c4c0c4f1402da46ca8	5.0
8fda90f379e1cd28c6592ff7ba42a065ab64fe7c	2.0
154f417e1289a5336693b3a3541544b9c83a2199	3.0
